Asset,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Embsay WTW,36.75,36.642,36.637,40.47,40.539,40.531,51.45,51.509,51.471,43.247,43.352,43.301
Oldfield WTW,33.768,33.425,33.4,47.7,47.9,46,46,46,46,34,34.7,34.5
Sladen Valley WTW,53.5,53,53,53,53,53,56,56,56,59,60,59
Graincliffe No.2 WTW,37,37,37,37,37,37,42,42,42,37,37,37
Chellow Heights WTW,32.5,32.5,32.5,27.2,27.2,27.2,32.5,32.5,32.5,32.5,32.5,32.5
Lobwood PS,54,54,44,41,41,41,41,41,41,44,54,54
Chelker RPS,22,22,18,17,17,17,17,17,17,18,22,22
Gilstead RPS,38,38,38,35,35,35,35,35,35,38,38,38
Chellow RPS,37,37,37,35,35,35,35,35,35,37,37,37
Ponden Old PS,40,40,40,40,40,40,40,40,40,40,40,40
Reva PS,21,21,21,21,21,21,21,21,21,21,21,21
Anchor Bridge PS,28.887,28.373,28.353,26.379,26.708,26.67,26.426,26.708,26.526,28.353,28.85,28.605
Graincliffe - Keighley,7.666,7.531,7.527,7.002,7.06,7.054,7.01,7.06,7.027,7.527,7.66,7.616
Paradise Green,21.725,21.324,21.309,19.833,20.081,20.052,19.868,20.081,19.944,21.309,21.696,21.512
Skipton Rural WTW,325.327,325.327,325.327,325.327,325.327,325.327,325.327,325.327,325.327,325.327,325.327,325.327
