Date,Lower Laithe,Ponden,Springhead Weir
01/01/1920,0.2,0.48,0.68
08/01/1920,0.2,0.48,0.68
15/01/1920,0.2,0.48,0.68
22/01/1920,0.2,0.48,0.68
29/01/1920,0.2,0.48,0.68
05/02/1920,0.2,0.48,0.68
12/02/1920,0.2,0.48,0.68
19/02/1920,0.2,0.48,0.68
26/02/1920,0.2,0.48,0.68
05/03/1920,0.2,0.48,0.68
12/03/1920,0.2,0.48,0.68
19/03/1920,0.2,0.48,0.68
26/03/1920,0.2,0.48,0.68
02/04/1920,0.2,0.48,0.68
09/04/1920,0.2,0.48,0.68
16/04/1920,0.2,0.48,0.68
23/04/1920,0.2,0.48,0.68
30/04/1920,0.2,0.48,0.68
07/05/1920,0.2,0.48,0.68
14/05/1920,0.2,0.48,0.68
21/05/1920,0.2,0.48,0.68
28/05/1920,0.2,0.48,0.68
04/06/1920,0.2,0.48,0.68
11/06/1920,0.2,0.48,0.68
18/06/1920,0.2,0.48,0.68
25/06/1920,0.2,0.48,0.68
02/07/1920,0.2,0.48,0.68
09/07/1920,0.2,0.48,0.68
16/07/1920,0.2,0.48,0.68
23/07/1920,0.2,0.48,0.68
30/07/1920,0.2,0.48,0.68
06/08/1920,0.2,0.48,0.68
13/08/1920,0.2,0.48,0.68
20/08/1920,0.2,0.48,0.68
27/08/1920,0.50143,0.48,0.98143
03/09/1920,0.757,1.0916,1.8486
10/09/1920,0.757,1.6844,2.4414
17/09/1920,0.54714,0.48,1.02714
24/09/1920,0.757,1.5516,2.3086
01/10/1920,0.2,0.48,0.68
08/10/1920,0.2,0.48,0.68
15/10/1920,0.2,0.48,0.68
22/10/1920,0.2,0.48,0.68
29/10/1920,0.2,0.48,0.68
05/11/1920,0.2,0.48,0.68
12/11/1920,0.2,0.48,0.68
19/11/1920,0.2,0.48,0.68
26/11/1920,0.2,0.48,0.68
03/12/1920,0.2,0.48,0.68
10/12/1920,0.2,0.48,0.68
17/12/1920,0.2,0.48,0.68
24/12/1920,0.2,0.48,0.68
01/01/1921,0.2,0.48,0.68
08/01/1921,0.2,0.48,0.68
15/01/1921,0.2,0.48,0.68
22/01/1921,0.2,0.48,0.68
29/01/1921,0.2,0.48,0.68
05/02/1921,0.2,0.48,0.68
12/02/1921,0.2,0.48,0.68
19/02/1921,0.2,0.48,0.68
26/02/1921,0.2,0.48,0.68
05/03/1921,0.2,0.48,0.68
12/03/1921,0.2,0.48,0.68
19/03/1921,0.2,0.48,0.68
26/03/1921,0.2,0.48,0.68
02/04/1921,0.2,0.48,0.68
09/04/1921,0.2,0.48,0.68
16/04/1921,0.2,0.48,0.68
23/04/1921,0.2,0.48,0.68
30/04/1921,0.757,0.84014,1.59714
07/05/1921,0.2,0.48,0.68
14/05/1921,0.2,0.48,0.68
21/05/1921,0.757,1.8873,2.6443
28/05/1921,0.757,2.1559,2.9129
04/06/1921,0.757,2.383,3.14
11/06/1921,0.757,2.7001,3.4571
18/06/1921,0.757,3.113,3.87
25/06/1921,0.757,3.2501,4.0071
02/07/1921,0.757,3.3116,4.0686
09/07/1921,0.757,3.3601,4.1171
16/07/1921,0.757,3.4044,4.1614
23/07/1921,0.757,2.6759,3.4329
30/07/1921,0.2,0.48,0.68
06/08/1921,0.2,0.48,0.68
